segment_type,segment_id,year,buffer_size,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category
100m,2,2013,100,L7,0.10750733770191409,0.04296288405352971,-0.13359094489193651,0.03734167143383519,-0.03467842796333705,0.027918036156387774,low - lower,very low - upper,low - lower
100m,2,2013,200,L7,0.1260036790691126,0.04738353994226233,-0.14931608621522718,0.0423958157539194,-0.046850757365322175,0.029048899016071484,low - lower,very low - upper,low - lower
100m,2,2013,300,L7,0.1179207758785898,0.052053746015214966,-0.14201995754830782,0.05065032717113318,-0.04334088355154892,0.031006966526694674,low - lower,very low - upper,low - lower
100m,3,2007,100,L7,0.1356150508188899,0.044782120882330204,-0.15331204629403147,0.038893272486775154,-0.04008159389977078,0.03754908687202688,low - lower,very low - upper,low - lower
100m,3,2007,200,L7,0.1441815766959985,0.05552215049170672,-0.16007568892571608,0.04901727468915426,-0.04383949751914622,0.041677434492678474,low - lower,very low - upper,low - lower
100m,3,2007,300,L7,0.14220786568834803,0.06109421169541548,-0.15791185340626024,0.05430189926548588,-0.03959256983216446,0.04571038000873602,low - lower,very low - upper,low - lower
100m,3,2008,100,L7,0.08381488375000559,0.03962205876355694,-0.10474653871183857,0.0368836501085468,-0.007442618121170485,0.03202999416266574,very low - upper,very low - upper,low - lower
100m,3,2008,200,L7,0.09438100261928496,0.05205318468664879,-0.11547374530407768,0.04973901786127138,-0.011090836102508422,0.03400697977071521,very low - upper,very low - upper,low - lower
100m,3,2008,300,L7,0.09354011884964678,0.057737449222904635,-0.11505231561752978,0.05541169168064277,-0.009450227075744508,0.03917206683588582,very low - upper,very low - upper,low - lower
100m,3,2009,100,L7,0.1239636686543327,0.054920109604843774,-0.1492873668600678,0.04657599446388012,-0.029810701883262167,0.04482303300529448,low - lower,very low - upper,low - lower
100m,3,2009,200,L7,0.13684781851096836,0.06429544009981736,-0.16166562670792256,0.05785059929334502,-0.037741871710364014,0.04602841196137897,low - lower,very low - upper,low - lower
100m,3,2009,300,L7,0.13516109216127495,0.06973111778482763,-0.160545490495955,0.06337446013756548,-0.0340532597366205,0.049490347019824174,low - lower,very low - upper,low - lower
100m,3,2010,100,L7,0.13072847428334625,0.05081875156548543,-0.1541198511257306,0.04409107809131998,-0.03527123954381344,0.0407550318658188,low - lower,very low - upper,low - lower
100m,3,2010,200,L7,0.14230199821459852,0.06268276970632289,-0.16527260608982208,0.05687272935575114,-0.041992541876614366,0.0423260454530095,low - lower,very low - upper,low - lower
100m,3,2010,300,L7,0.14155382677736586,0.07009986238214337,-0.16474915769942083,0.06356754961094632,-0.040013012458478936,0.04706958437902938,low - lower,very low - upper,low - lower
100m,3,2011,100,L7,0.12272944083478213,0.05036632827769384,-0.1466314701647151,0.04395057857148291,-0.03631613152807007,0.040412746613824185,low - lower,very low - upper,low - lower
100m,3,2011,200,L7,0.13798357799908617,0.06488982035246263,-0.1615396311036506,0.057766900690939066,-0.04443911837101892,0.04393506742865526,low - lower,very low - upper,low - lower
100m,3,2011,300,L7,0.13714847675894534,0.07252556754574879,-0.16054498350741475,0.06482799972572359,-0.041791505899214494,0.051192418446254606,low - lower,very low - upper,low - lower
100m,3,2012,100,L7,0.1255143681952849,0.04983682598868166,-0.14910488692119148,0.04284219465769776,-0.04293782695663371,0.043474561995013775,low - lower,very low - upper,low - lower
100m,3,2012,200,L7,0.14014370266532641,0.060143248048352776,-0.16211392869718813,0.053440033492234064,-0.05182051937658321,0.042926312306993016,low - lower,very low - upper,low - lower
100m,3,2012,300,L7,0.13770593386024996,0.06729508662923483,-0.16067654075884955,0.06084457847637702,-0.04957606431846514,0.04581459552864708,low - lower,very low - upper,low - lower
