segment_id_x,100m_segment_id,Year,roadkill_count,min_dist_1,min_dist_2,min_dist_3,geometry,buffer_size,segment_type,segment_id_y,year,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category,200m_segment_id
117-120,30.0,2014,0.0,43.48324832460772,46.78876473755729,62.6965657248781,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2014,L8,0.3411159860286075,0.0635892266434298,-0.4090506361379424,0.0567465836640367,0.0262706202567676,0.0514606874628488,low - upper,very low - lower,low - upper,
117-120,30.0,2015,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2015,L8,0.0074973649250967,0.0061423330725083,-0.0093023908354905,0.0077003611418044,-0.1535296634707693,0.0201839111508845,very low - lower,low - upper,very low - upper,
117-120,30.0,2016,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2016,L8,0.3695537988342554,0.1077448019538429,-0.3521859127320189,0.083537671526113,-0.0039354085027314,0.0605701094982059,decent - lower,very low - upper,low - upper,
117-120,30.0,2017,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2017,L8,0.3989137262112739,0.0849150152954074,-0.4378306230335756,0.0747810818943179,-0.0623095701123827,0.0524518633605291,decent - lower,very low - lower,low - lower,
117-120,30.0,2018,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2018,L8,0.2819525634860869,0.0612412803720728,-0.3668773376196855,0.0546957257037714,0.0753607349961681,0.0561959763426381,low - upper,very low - upper,decent - lower,
117-120,30.0,2019,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2019,L8,0.365843230925183,0.1131963919497575,-0.3472910622527926,0.0959382242676855,-0.0920845228761628,0.057075882297316,decent - lower,very low - upper,low - lower,
117-120,30.0,2020,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2020,L8,0.2645024086956803,0.0626008622984788,-0.3515924078487424,0.0557980900891959,0.0892150279589693,0.0508169864913624,low - upper,very low - upper,decent - lower,
117-120,30.0,2021,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2021,L8,0.3423082424156478,0.0579443766282505,-0.3960978760562302,0.0472904251786554,0.0040489449419289,0.0475445032524748,low - upper,very low - upper,low - upper,
117-120,30.0,2022,0.0,43.48324832460772,46.78876473755729,51.127293054251254,"LINESTRING (455348.8125747038 4470086.268926154, 455448.6536409833 4470091.592929217)",200,100m,30,2022,L8,0.3290381335575297,0.0664983477198596,-0.4044462016580888,0.0603786666287058,0.0284796083088369,0.0519356583005205,low - upper,very low - lower,low - upper,
121-124,31.0,2007,0.0,43.508280978321224,,,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2007,L7,0.1059523293096867,0.025091773089779,-0.1253623691510699,0.0237711425020197,0.0138135410181779,0.0254187949200003,low - lower,very low - upper,low - upper,
121-124,31.0,2008,0.0,43.508280978321224,,,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2008,L7,0.0286953589412446,0.0527813797827957,-0.0427595460541582,0.0117105523577115,0.026304269125436,0.0650457069030389,very low - upper,low - lower,low - upper,
